Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Has_LoginForm,Form_Action_Suspect,Suspicious_Keywords,Label
graphicriver.net,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
foursquare.com,0,0,1,3,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
shop-pro.jp,0,0,1,6,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
motthegioi.vn,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
tobogo.net,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
nypost.com,0,0,1,4,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0
thenextweb.com,0,0,1,6,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
xhamster.com,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
medium.com,0,0,1,2,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
extratorrent.cc,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
tune.pk,0,0,1,3,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0
sfglobe.com,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
metro.co.uk,0,0,1,4,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0
maybank2u.com.my,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
correios.com.br,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0
twitter.com,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
tobogo.net,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
allegro.pl,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
allegro.pl,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
tobogo.net,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0
atwiki.jp,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
olx.co.id,0,0,1,2,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
nguyentandung.org,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0
olx.co.id,0,0,1,2,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
spankbang.com,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
torcache.net,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
mic.com,0,0,1,3,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0
plarium.com,0,0,1,5,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
emgn.com,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
venturebeat.com,0,0,1,4,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
serverfault.com,0,0,1,3,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
kakaku.com,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
twitter.com,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
paytm.com,0,0,1,8,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0
distractify.com,0,0,1,10,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
sourceforge.net,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
babal.net,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
serverfault.com,0,0,1,3,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
cookpad.com,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
plarium.com,0,0,1,5,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
pikabu.ru,0,0,1,3,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0
babal.net,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
wordpress.org,0,0,1,7,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
nguyentandung.org,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0
getpocket.com,0,0,1,4,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
extratorrent.cc,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
censor.net.ua,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
distractify.com,0,0,1,10,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0
twitter.com,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
medium.com,0,0,1,2,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
filehippo.com,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
variety.com,0,0,1,4,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0
akhbarelyom.com,0,0,1,5,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
allegro.pl,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
getpocket.com,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0
mylust.com,0,0,1,3,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
interpark.com,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
pornsharing.com,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
interpark.com,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
mediaset.it,0,0,1,5,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0
distractify.com,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
qz.com,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
maybank2u.com.my,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0
thenextweb.com,0,0,1,5,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
themeforest.net,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
themeforest.net,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
paytm.com,0,0,1,2,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0
motthegioi.vn,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
torcache.net,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
fanpage.gr,0,0,1,2,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
twitter.com,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
lifehacker.com,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
lastpass.com,0,0,1,9,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0
sourceforge.net,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
nymag.com,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
ap.org,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
steamcommunity.com,0,0,1,7,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0
extratorrent.cc,0,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
correios.com.br,0,0,1,5,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0
plarium.com,0,0,1,5,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
nguyentandung.org,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0
themeforest.net,0,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
kenh14.vn,0,0,1,2,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0
motthegioi.vn,0,0,1,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
tunein.com,0,0,1,5,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0
nguyentandung.org,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0
yourlust.com,0,0,1,2,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0
weathernews.jp,0,0,1,4,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0
atwiki.jp,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
plarium.com,0,0,1,5,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
chaturbate.com,0,0,1,3,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0
